Country,Country,Region,Subregion,Population,Christian,%,-Muslim-,%,Unaffiliated,%,Hindu,%,Buddhist,%,FolkReligion,%,OtherReligion,%,Jewish,%
Middle Africa,Middle Africa,Sub-Saharan Africa,Middle Africa,126700000,108128990,85.34%,11444300,9.03%,4028670,3.18%,30000,0.02%,0,0.00%,2331720,1.84%,668990,0.53%,0,0.00%
Moldova, Moldova,Europe,Southeastern Europe,3570000,3477180,97.40%,21420,0.60%,49980,1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21420,0.60%
Monaco, Monaco,Europe,Western Europe,40000,34400,86.00%,160,0.40%,4680,11.70%,0,0.00%,0,0.00%,0,0.00%,80,0.20%,680,1.70%
Mongolia, Mongolia,Asia and the Pacific,Eastern Asia,2760000,63480,2.30%,88320,3.20%,990840,35.90%,0,0.00%,1520760,55.10%,96600,3.50%,0,0.00%,0,0.00%
Montenegro, Montenegro,Europe,Southeastern Europe,630000,492030,78.10%,117810,18.70%,20160,3.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Montserrat, Montserrat,Latin America and the Caribbean,Caribbean,5000,4675,93.50%,0,0.00%,240,4.80%,5,0.10%,0,0.00%,10,0.20%,75,1.50%,0,0.00%
Morocco, Morocco,The Middle East and North Africa,North Africa,31950000,20000,0.06%,31918050,99.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mozambique, Mozambique,Sub-Saharan Africa,Eastern Africa,23390000,13262130,56.70%,4210200,18.00%,4186810,17.90%,0,0.00%,0,0.00%,1730860,7.40%,0,0.00%,0,0.00%
Namibia, Namibia,Sub-Saharan Africa,Southern Africa,2280000,2223000,97.50%,6840,0.30%,43320,1.90%,0,0.00%,0,0.00%,4560,0.20%,0,0.00%,0,0.00%
Nauru, Nauru,Asia and the Pacific,Micronesia,10000,7900,79.00%,0,0.00%,450,4.50%,0,0.00%,110,1.10%,810,8.10%,740,7.40%,0,0.00%
Nepal,Nepal,Asia and the Pacific,Southern Asia,29960000,149800,0.50%,1378160,4.60%,89880,0.30%,24177720,80.70%,3085880,10.30%,1108520,3.70%,20000,0.07%,0,0.00%
Netherlands, Netherlands,Europe,Western Europe,16610000,8404660,50.60%,996600,6.00%,6992810,42.10%,83050,0.50%,33220,0.20%,33220,0.20%,33220,0.20%,33220,0.20%
Netherlands Antilles, Netherlands Antilles,Latin America and the Caribbean,Caribbean,200000,187800,93.90%,400,0.20%,6600,3.30%,400,0.20%,1000,0.50%,2400,1.20%,600,0.30%,600,0.30%
New Caledonia, New Caledonia,Asia and the Pacific,Melanesia,250000,213000,85.20%,7000,2.80%,26000,10.40%,0,0.00%,1500,0.60%,500,0.20%,2000,0.80%,0,0.00%
New Zealand, New Zealand,Asia and the Pacific,Australia and New Zealand,4370000,2490900,57.00%,52440,1.20%,1599420,36.60%,91770,2.10%,69920,1.60%,21850,0.50%,30590,0.70%,8740,0.20%
Nicaragua, Nicaragua,Latin America and the Caribbean,Mexico and Central America,5790000,4967820,85.80%,0,0.00%,723750,12.50%,0,0.00%,0,0.00%,81060,1.40%,5790,0.10%,0,0.00%
Niger, Niger,Sub-Saharan Africa,Western Africa,15510000,124080,0.80%,15261840,98.40%,108570,0.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Nigeria, Nigeria,Sub-Saharan Africa,Western Africa,158420000,78101060,49.30%,77308960,48.80%,633680,0.40%,0,0.00%,10000,0.01%,2217880,1.40%,90000,0.06%,0,0.00%
Niue, Niue,Asia and the Pacific,Polynesia,2000,1928,96.40%,0,0.00%,66,3.30%,0,0.00%,0,0.00%,0,0.00%,4,0.20%,0,0.00%
North Africa,North Africa,The Middle East and North Africa,North Africa,199510000,6236200,3.13%,191199440,95.83%,1010260,0.51%,0,0.00%,19080,0.01%,950800,0.48%,0,0.00%,0,0.00%
North Korea, North Korea,Asia and the Pacific,Eastern Asia,24350000,487000,2.00%,0,0.00%,17361550,71.30%,0,0.00%,365250,1.50%,2995050,12.30%,3141150,12.90%,0,0.00%
Northern America,Northern America,Northern America,Northern America,344526000,266609682,77.38%,3508512,1.02%,58978428,17.12%,2338560,0.68%,3997020,1.16%,1031280,0.30%,2169378,0.63%,5927220,1.72%
Northern Cyprus, Northern Cyprus,Asia and the Pacific,Western Asia,294906,1475,0.50%,291957,99%,1474,0.50%,0,0.00%,0,0%,0,0.00%,0,0.00%,0,0.00%
Northern Europe,Northern Europe,Europe,Northern Europe,25540000,19797730,77.52%,883110,3.46%,4635790,18.15%,66320,0.26%,79180,0.31%,20360,0.08%,29310,0.11%,9380,0.04%
Northern Mariana Islands, Northern Mariana Islands,Asia and the Pacific,Micronesia,60000,48780,81.30%,420,0.70%,600,1.00%,0,0.00%,6360,10.60%,3180,5.30%,660,1.10%,0,0.00%
Norway, Norway,Europe,Northern Europe,4880000,4133360,84.70%,180560,3.70%,492880,10.10%,24400,0.50%,29280,0.60%,0,0.00%,9760,0.20%,0,0.00%
Oman, Oman,The Middle East and North Africa,The Middle East,2780000,180700,6.50%,2388020,85.90%,5560,0.20%,152900,5.50%,22240,0.80%,0,0.00%,27800,1.00%,0,0.00%
Pakistan, Pakistan,Asia and the Pacific,Southern Asia,173590000,2777440,1.60%,167340760,96.40%,20000,0.01%,3298210,1.90%,20000,0.01%,30000,0.02%,20000,0.01%,0,0.00%
Palau, Palau,Asia and the Pacific,Micronesia,20000,17340,86.70%,0,0.00%,240,1.20%,0,0.00%,160,0.80%,160,0.80%,2080,10.40%,0,0.00%
Palestine, Palestine,The Middle East and North Africa,The Middle East,4040000,96960,2.40%,3943040,97.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Panama, Panama,Latin America and the Caribbean,Mexico and Central America,3520000,3273600,93.00%,24640,0.70%,168960,4.80%,0,0.00%,7040,0.20%,14080,0.40%,14080,0.40%,14080,0.40%
Papua New Guinea, Papua New Guinea,Asia and the Pacific,Melanesia,6860000,6805120,99.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,27440,0.40%,13720,0.20%,0,0.00%
Paraguay, Paraguay,Latin America and the Caribbean,South America,6450000,6250050,96.90%,0,0.00%,70950,1.10%,0,0.00%,0,0.00%,109650,1.70%,12900,0.20%,0,0.00%
Peru, Peru,Latin America and the Caribbean,South America,29080000,26753600,93.00%,0,0.00%,1890200,6.50%,0,0.00%,58160,0.20%,290800,1.00%,87240,0.30%,0,0.00%
Philippines, Philippines,Asia and the Pacific,Southeastern Asia,93260000,73758760,79.08%,10329300,11.07 %[2],4193260,4.40%,0,0.00%,3453000,3.50%,2398900,2.50 %[3],93260,0.10%,8473,0.01%
Poland, Poland,Europe,Central Europe,38280000,36098040,94.30%,0,0.00%,2143680,5.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10000,0.03%
Polynesia,Polynesia,Asia and the Pacific,Polynesia,667400,641574,96.13%,11,0.00%,19147,2.87%,100,0.01%,210,0.03%,1786,0.27%,3390,0.51%,0,0.00%
Portugal, Portugal,Europe,Southern Europe,10680000,10017840,93.80%,64080,0.60%,469920,4.40%,10680,0.10%,64080,0.60%,53400,0.50%,0,0.00%,0,0.00%
Puerto Rico, Puerto Rico,Latin America and the Caribbean,Caribbean,3750000,3626250,96.70%,0,0.00%,71250,1.90%,0,0.00%,11250,0.30%,30000,0.80%,3750,0.10%,0,0.00%
Qatar, Qatar,The Middle East and North Africa,The Middle East,1760000,242880,13.80%,1191520,67.70%,15840,0.90%,242880,13.80%,54560,3.10%,0,0.00%,12320,0.70%,0,0.00%
RŽunion, RŽunion,Sub-Saharan Africa,Eastern Africa,850000,744600,87.60%,35700,4.20%,17000,2.00%,38250,4.50%,1700,0.20%,3400,0.40%,9350,1.10%,0,0.00%
Romania, Romania,Europe,Southeastern Europe,21490000,21382550,99.50%,64470,0.30%,21490,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Russia, Russia,Europe,Eastern Europe,142960000,104789680,73.30%,14296000,10.00%,23159520,16.20%,30000,0.02%,142960,0.10%,285920,0.20%,0,0.00%,285920,0.20%
Rwanda, Rwanda,Sub-Saharan Africa,Eastern Africa,10620000,9919080,93.40%,191160,1.80%,382320,3.60%,0,0.00%,0,0.00%,106200,1.00%,21240,0.20%,0,0.00%
Saint Helena, Saint Helena,Sub-Saharan Africa,Western Africa,4000,3860,96.50%,0,0.00%,132,3.30%,0,0.00%,0,0.00%,0,0.00%,8,0.20%,0,0.00%
Saint Kitts and Nevis, Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,50000,47300,94.60%,150,0.30%,800,1.60%,750,1.50%,0,0.00%,650,1.30%,400,0.80%,0,0.00%
Saint Lucia, Saint Lucia,Latin America and the Caribbean,Caribbean,170000,154870,91.10%,170,0.10%,10200,6.00%,510,0.30%,0,0.00%,850,0.50%,3400,2.00%,0,0.00%
Saint Pierre and Miquelon, Saint Pierre and Miquelon,Northern America,Northern America,6000,5682,94.70%,12,0.20%,228,3.80%,0,0.00%,0,0.00%,0,0.00%,78,1.30%,0,0.00%
Saint Vincent and the Grenadines, Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,110000,97570,88.70%,1650,1.50%,2750,2.50%,3740,3.40%,0,0.00%,2200,2.00%,2200,2.00%,0,0.00%
Samoa, Samoa,Asia and the Pacific,Polynesia,180000,174240,96.80%,0,0.00%,4500,2.50%,0,0.00%,0,0.00%,0,0.00%,720,0.40%,0,0.00%
San Marino, San Marino,Europe,Southern Europe,30000,27480,91.60%,0,0.00%,2160,7.20%,0,0.00%,0,0.00%,0,0.00%,270,0.90%,90,0.30%
Sao Tome and Principe, Sao Tome and Principe,Sub-Saharan Africa,Middle Africa,170000,139740,82.20%,0,0.00%,21420,12.60%,0,0.00%,0,0.00%,4930,2.90%,4080,2.40%,0,0.00%
Saudi Arabia, Saudi Arabia,The Middle East and North Africa,The Middle East,27450000,1207800,4.40%,25528500,93.00%,192150,0.70%,301950,1.10%,82350,0.30%,82350,0.30%,82350,0.30%,0,0.00%
Senegal, Senegal,Sub-Saharan Africa,Western Africa,12430000,447480,3.60%,11982520,96.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Serbia, Serbia,Europe,Southeastern Europe,7770000,7187250,92.50%,326340,4.20%,256410,3.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Seychelles, Seychelles,Sub-Saharan Africa,Eastern Africa,90000,84600,94.00%,990,1.10%,1890,2.10%,1890,2.10%,0,0.00%,0,0.00%,540,0.60%,0,0.00%
Sierra Leone, Sierra Leone,Sub-Saharan Africa,Western Africa,5870000,1226830,20.90%,4578600,78.00%,5870,0.10%,0,0.00%,0,0.00%,46960,0.80%,0,0.00%,0,0.00%
Singapore, Singapore,Asia and the Pacific,Southeastern Asia,5090000,926380,18.20%,727870,14.30%,834760,16.40%,264680,5.20%,1725510,33.90%,117070,2.30%,493730,9.70%,0,0.00%
Slovakia, Slovakia,Europe,Central Europe,5460000,4657380,85.30%,10920,0.20%,780780,14.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Slovenia, Slovenia,Europe,Central Europe,2030000,1591520,78.40%,73080,3.60%,365400,18.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Solomon Islands, Solomon Islands,Asia and the Pacific,Melanesia,540000,525960,97.40%,0,0.00%,1080,0.20%,0,0.00%,1620,0.30%,7020,1.30%,3780,0.70%,0,0.00%
Somalia (Horn of Africa), Somalia (Horn of Africa),Sub-Saharan Africa,Eastern Africa,9330000,0,0.00%,9311340,99.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
South Africa, South Africa,Sub-Saharan Africa,Southern Africa,50130000,40705560,81.20%,852210,1.70%,7469370,14.90%,551430,1.10%,100260,0.20%,200520,0.40%,150390,0.30%,50130,0.10%
South America,South America,Latin America and the Caribbean,South America,392533000,351596866,89.57%,670159,0.17%,31324885,7.98%,293390,0.07%,286236,0.07%,7076960,1.80%,829934,0.21%,340310,0.09%
South Korea, South Korea,Asia and the Pacific,Eastern Asia,48180000,14164920,29.40%,96360,0.20%,22355520,46.40%,0,0.00%,11033220,22.90%,385440,0.80%,96360,0.20%,0,0.00%
South Sudan, South Sudan,Sub-Saharan Africa,Eastern Africa,9950000,6019750,60.50%,616900,6.20%,49750,0.50%,0,0.00%,0,0.00%,3273550,32.90%,0,0.00%,0,0.00%
Southeastern Asia,Southeastern Asia,Asia and the Pacific,Southeastern Asia,593410000,116571210,21.33%,245594630,40.38%,31903260,4.70%,6932110,1.17%,143582660,24.20%,47540670,8.01%,1374780,0.23%,8437,0.00%
Southeastern Europe,Southeastern Europe,Europe,Southeastern Europe,63410000,52697640,83.11%,9046550,14.27%,1556500,2.45%,11360,0.02%,0,0.00%,11360,0.02%,6400,0.01%,21420,0.03%
Southern Africa,Southern Africa,Sub-Saharan Africa,Southern Africa,57780000,47526720,82.25%,869470,1.50%,8114210,14.04%,558650,0.97%,100260,0.17%,339750,0.59%,167210,0.29%,50130,0.09%
Southern Asia,Southern Asia,Asia and the Pacific,Southern Asia,1598760000,35367580,2.21%,480947000,30.08%,1059880,0.07%,1017574570,63.65%,28649420,1.79%,7870200,0.49%,28236030,1.77%,10000,0.00%
Southern Europe,Southern Europe,Europe,Southern Europe,117870800,97208790,82.47%,3274790,2.78%,16753890,14.21%,93010,0.08%,185180,0.16%,133950,0.11%,70440,0.06%,97040,0.08%
Spain, Spain,Europe,Southern Europe,46080000,36218880,78.60%,967680,2.10%,8755200,19.00%,20000,0.04%,0,0.00%,20000,0.04%,10000,0.02%,46080,0.10%
Sri Lanka, Sri Lanka,Asia and the Pacific,Southern Asia,20860000,1522780,7.30%,2044280,9.80%,0,0.00%,2836960,13.60%,14455980,69.30%,0,0.00%,0,0.00%,0,0.00%
Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,822714000,517410250,62.89%,248172500,30.17%,26513072,3.22%,1570690,0.19%,111960,0.01%,26749540,3.25%,1815728,0.22%,61910,0.01%
Sudan, Sudan,The Middle East and North Africa,North Africa,33600000,1814400,5.40%,30475200,90.70%,336000,1.00%,0,0.00%,0,0.00%,940800,2.80%,0,0.00%,0,0.00%
Suriname, Suriname,Latin America and the Caribbean,South America,520000,268320,51.60%,79040,15.20%,28080,5.40%,102960,19.80%,3120,0.60%,27560,5.30%,9360,1.80%,1040,0.20%
Swaziland, Swaziland,Sub-Saharan Africa,Southern Africa,1190000,1048390,88.10%,2380,0.20%,120190,10.10%,1190,0.10%,0,0.00%,11900,1.00%,4760,0.40%,0,0.00%
Sweden, Sweden,Europe,Northern Europe,9380000,6303360,67.20%,431480,4.60%,2532600,27.00%,18760,0.20%,37520,0.40%,18760,0.20%,18760,0.20%,9380,0.10%
Switzerland,Switzerland,Europe,Central Europe,7660000,6227580,81.30%,421300,5.50%,911540,11.90%,30640,0.40%,30640,0.40%,0,0.00%,7660,0.10%,22980,0.30%
Syria, Syria,The Middle East and North Africa,The Middle East,20410000,1061320,5.20%,18940480,92.80%,408200,2.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Taiwan, Taiwan,Asia and the Pacific,Eastern Asia,23220000,1277100,5.50%,10000,0.04%,2948940,12.70%,0,0.00%,4945860,21.30%,10263240,44.20%,3761640,16.20%,0,0.00%
Tajikistan, Tajikistan,Asia and the Pacific,Central Asia,6880000,110080,1.60%,6652960,96.70%,103200,1.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Tanzania, Tanzania,Sub-Saharan Africa,Eastern Africa,44840000,27531760,61.40%,15783680,35.20%,627760,1.40%,44840,0.10%,0,0.00%,807120,1.80%,30000,0.07%,0,0.00%
Thailand, Thailand,Asia and the Pacific,Southeastern Asia,69120000,622080,0.90%,3801600,5.50%,207360,0.30%,69120,0.10%,64419840,93.20%,60000,0.09%,0,0.00%,0,0.00%
The Gambia, The Gambia,Sub-Saharan Africa,Western Africa,1730000,77850,4.50%,1645230,95.10%,0,0.00%,0,0.00%,0,0.00%,1730,0.10%,0,0.00%,0,0.00%
The Middle East,The Middle East,The Middle East and North Africa,The Middle East,141510000,6516570,4.61%,125859510,88.94%,1026730,0.73%,1700260,1.20%,473050,0.33%,97190,0.07%,220710,0.16%,5617080,3.97%
The Middle East and North Africa,The Middle East and North Africa,The Middle East and North Africa,The Middle East and North Africa,341020000,12752770,3.74%,317058950,92.97%,2036990,0.60%,1700260,0.50%,492130,0.14%,1047990,0.31%,220710,0.06%,5617080,1.65%
Timor-Leste, Timor-Leste,Asia and the Pacific,Southeastern Asia,1120000,1115520,99.60%,1120,0.10%,0,0.00%,0,0.00%,0,0.00%,1120,0.10%,0,0.00%,0,0.00%
Togo, Togo,Sub-Saharan Africa,Western Africa,6030000,2635110,43.70%,844200,14.00%,373860,6.20%,0,0.00%,0,0.00%,2146680,35.60%,36180,0.60%,0,0.00%
Tokelau, Tokelau,Asia and the Pacific,Polynesia,1400,1397,99.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.20%,0,0.00%
Tonga, Tonga,Asia and the Pacific,Polynesia,100000,98900,98.90%,0,0.00%,0,0.00%,100,0.10%,0,0.00%,0,0.00%,900,0.90%,0,0.00%
Trinidad and Tobago, Trinidad and Tobago,Latin America and the Caribbean,Caribbean,1340000,883060,65.90%,79060,5.90%,25460,1.90%,304180,22.70%,4020,0.30%,25460,1.90%,18760,1.40%,0,0.00%
Tunisia, Tunisia,The Middle East and North Africa,North Africa,10480000,20960,0.20%,10427600,99.50%,20960,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Turkey, Turkey,Asia and the Pacific,Western Asia,72750000,291000,0.40%,71295000,98.00%,873000,1.20%,0,0.00%,40000,0.05%,20000,0.03%,145500,0.20%,20000,0.03%
Turkmenistan, Turkmenistan,Asia and the Pacific,Central Asia,5040000,322560,6.40%,4687200,93.00%,25200,0.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Turks and Caicos Islands, Turks and Caicos Islands,Latin America and the Caribbean,Caribbean,40000,36840,92.10%,0,0.00%,1840,4.60%,0,0.00%,0,0.00%,1080,2.70%,240,0.60%,0,0.00%
Tuvalu, Tuvalu,Asia and the Pacific,Polynesia,11000,10637,96.70%,11,0.10%,143,1.30%,0,0.00%,0,0.00%,0,0.00%,209,1.90%,0,0.00%
U.S. Virgin Islands, U.S. Virgin Islands,Latin America and the Caribbean,Caribbean,110000,104280,94.80%,110,0.10%,4070,3.70%,440,0.40%,0,0.00%,0,0.00%,660,0.60%,330,0.30%
Uganda, Uganda,Sub-Saharan Africa,Eastern Africa,33420000,28975140,86.70%,3843300,11.50%,167100,0.50%,100260,0.30%,0,0.00%,300780,0.90%,33420,0.10%,0,0.00%
Ukraine, Ukraine,Europe,Eastern Europe,45450000,38087100,83.80%,545400,1.20%,6681150,14.70%,10000,0.02%,20000,0.04%,0,0.00%,0,0.00%,45450,0.10%
United Arab Emirates, United Arab Emirates,The Middle East and North Africa,The Middle East,7510000,946260,12.60%,5775190,76.90%,82610,1.10%,495660,6.60%,150200,2.00%,0,0.00%,60080,0.80%,0,0.00%
United Kingdom, United Kingdom,Europe,Western Europe,62040000,44110440,71.10%,2729760,4.40%,13214520,21.30%,806520,1.30%,248160,0.40%,186120,0.30%,496320,0.80%,310200,0.50%
United States, United States,Northern America,Northern America,310380000,243027540,78.30%,2793420,0.90%,50902320,16.40%,1862280,0.60%,3724560,1.20%,620760,0.20%,1862280,0.60%,5586840,1.80%
Uruguay, Uruguay,Latin America and the Caribbean,South America,3370000,1951230,57.90%,0,0.00%,1371590,40.70%,0,0.00%,0,0.00%,26960,0.80%,10110,0.30%,10110,0.30%
Uzbekistan, Uzbekistan,Asia and the Pacific,Central Asia,27440000,631120,2.30%,26534480,96.70%,219520,0.80%,0,0.00%,10000,0.04%,10000,0.04%,0,0.00%,10000,0.04%
Vanuatu, Vanuatu,Asia and the Pacific,Melanesia,240000,223920,93.30%,0,0.00%,2880,1.20%,0,0.00%,0,0.00%,9840,4.10%,3360,1.40%,0,0.00%
Vatican City,Vatican City,Europe,Southern Europe,800,800,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Venezuela, Venezuela,Latin America and the Caribbean,South America,28980000,25879140,89.30%,86940,0.30%,2898000,10.00%,0,0.00%,0,0.00%,57960,0.20%,20000,0.07%,0,0.00%
Vietnam, Vietnam,Asia and the Pacific,Southeastern Asia,87850000,7203700,8.20%,175700,0.20%,26003600,29.60%,0,0.00%,14407400,16.40%,39796050,45.30%,351400,0.40%,0,0.00%
Wallis and Futuna, Wallis and Futuna,Asia and the Pacific,Polynesia,13000,12662,97.40%,0,0.00%,78,0.60%,0,0.00%,0,0.00%,156,1.20%,104,0.80%,0,0.00%
Western Africa,Western Africa,Sub-Saharan Africa,Western Africa,304264000,123748360,40.67%,162347970,53.36%,4998882,1.64%,0,0.00%,10000,0.00%,12789880,4.20%,219438,0.07%,0,0.00%
Western Asia,Western Asia,Asia and the Pacific,Western Asia,191510000,4594900,2.40%,185394330,96.81%,1000340,0.52%,30000,0.02%,42200,0.02%,20000,0.01%,316530,0.17%,20000,0.01%
Western Europe,Western Europe,Europe,Western Europe,157400000,103649540,65.85%,9128720,5.80%,41346550,26.27%,928670,0.59%,625690,0.40%,438070,0.28%,667180,0.42%,690690,0.44%
Western Sahara, Western Sahara,The Middle East and North Africa,North Africa,530000,1060,0.20%,526820,99.40%,2120,0.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
World,World,World,World,6895806200,2172804407,31.51%,1598145602,23.18%,1125764242,16.33%,1032750475,14.98%,488087716,7.08%,404663436,5.87%,58789445,0.85%,13653580,0.20%
Yemen, Yemen,The Middle East and North Africa,The Middle East,24050000,48100,0.20%,23833550,99.10%,24050,0.10%,144300,0.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Zambia, Zambia,Sub-Saharan Africa,Eastern Africa,13090000,12775840,97.60%,65450,0.50%,65450,0.50%,13090,0.10%,0,0.00%,39270,0.30%,117810,0.90%,0,0.00%
Zimbabwe, Zimbabwe,Sub-Saharan Africa,Eastern Africa,12570000,10935900,87.00%,113130,0.90%,993030,7.90%,0,0.00%,0,0.00%,477660,3.80%,37710,0.30%,10000,0.08%
